D. J. Segelstein, "The complex refractive index of water," University of
Missouri-Kansas City, (1981).

lambda	absorption
(nm)	(1/cm)
10	21928
11	27099
12	32972
13	39362
14	46442	
16	62502
18	81308
20	1.0279e+05
22	1.2732e+05
24	1.5453e+05
26	1.8453e+05
28	2.1779e+05
30	2.5409e+05
32	2.9308e+05
34	3.3577e+05
36	3.8185e+05
38	4.3067e+05
40	4.8204e+05
42	5.3822e+05
44	5.9701e+05
46	6.5903e+05
48	7.2459e+05
50	7.5348e+05
52	7.6196e+05
54	7.7099e+05
56	7.8523e+05
58	8.1094e+05
60	8.6297e+05
62	9.2473e+05
64	9.8869e+05
66	1.0185e+06
68	1.0399e+06
70	1.0399e+06
72	1.0234e+06
74	9.8631e+05
76	9.6838e+05
78	9.6383e+05
80	9.6392e+05
82	9.6377e+05
84	9.6594e+05
86	9.6157e+05
88	9.3969e+05
90	9.1199e+05
92	8.7913e+05
94	8.4141e+05
96	7.9244e+05
98	7.3794e+05
100	6.8235e+05
102	6.3816e+05
104	5.9557e+05
106	5.5854e+05
108	5.2234e+05
110	4.9202e+05
112	4.6582e+05
114	4.3960e+05
116	4.1483e+05
118	3.9456e+05
120	3.7689e+05
122	3.5978e+05
124	3.4352e+05
126	3.2140e+05
128	2.8257e+05
130	2.3122e+05
132	1.7789e+05
134	1.3964e+05
136	1.2308e+05
138	1.2949e+05
140	1.5062e+05
142	1.7065e+05
144	1.8924e+05
146	2.0749e+05
148	2.2439e+05
150	2.3223e+05
152	2.2902e+05
154	2.1034e+05
156	1.8833e+05
158	1.6072e+05
160	1.3116e+05
162	1.0467e+05
164	79564
166	54815
168	29923
170	2958.8
172	1462.4
174	852.67
175	602.54
180	41.876
185	0.84954
190	0.23943
195	0.11922
200	0.069178
205	0.041118
210	0.023013
215	0.011695
220	0.0072608
225	0.0064704
230	0.0060128
235	0.0057271
240	0.0054948
245	0.0050820
250	0.0046782
255	0.0042360
260	0.0038637
265	0.0035313
270	0.0031914
275	0.0028773
280	0.0025999
285	0.0023824
290	0.0020799
295	0.0018749
300	0.0017381
305	0.0015774
310	0.0014388
315	0.0013273
320	0.0012531
325	0.0011913
330	0.0011349
335	0.0010815
340	0.0010235
345	0.00096605
350	0.00090791
355	0.00085712
360	0.00080911
365	0.00076370
370	0.00071939
375	0.00068059
380	0.00064121
385	0.00060120
390	0.00056757
395	0.00052852
400	0.00049650
405	0.00046246
410	0.00043563
415	0.00040545
420	0.00037657
425	0.00034597
429	0.00031833
435	0.00029442
440	0.00026857
445	0.00024548
450	0.00022593
455	0.00021529
460	0.00020748
465	0.00020277
470	0.00019498
475	0.00018536
480	0.00018578
485	0.00018535
490	0.00018837
495	0.00019906
500	0.00023230
505	0.00026841
510	0.00031188
515	0.00035636
520	0.00037941
525	0.00039270
530	0.00041682
535	0.00044356
540	0.00048868
545	0.00052366
550	0.00055845
555	0.00060249
560	0.00064403
565	0.00069672
570	0.00075680
575	0.00083950
579	0.00096167
585	0.0011219
590	0.0013552
596	0.0016292
600	0.0020184
605	0.0023501
610	0.0025524
615	0.0027167
619	0.0028383
625	0.0029587
629	0.0029984
635	0.0030699
640	0.0030841
646	0.0031255
650	0.0032358
655	0.0034113
661	0.0036898
665	0.0038362
670	0.0039355
675	0.0040559
681	0.0042454
685	0.0045298
690	0.0048303
695	0.0053574
700	0.0060120
705	0.0073112
710	0.0088510
715	0.010544
719	0.012736
724	0.015850
729	0.019810
735	0.023063
740	0.024773
745	0.025818
750	0.026125
755	0.026294
760	0.026114
766	0.025770
769	0.024950
775	0.023981
780	0.022706
785	0.021429
791	0.020374
794	0.019902
800	0.019640
805	0.019815
809	0.020657
815	0.022335
820	0.024829
824	0.027737
830	0.030905
836	0.033732
840	0.036808
845	0.039990
849	0.043343
855	0.046336
859	0.048978
865	0.051515
871	0.054074
875	0.056111
879	0.057942
885	0.060113
889	0.062224
895	0.064867
900	0.067924
906	0.071455
910	0.078707
914	0.092052
920	0.11338
925	0.14405
929	0.18505
935	0.23792
940	0.29005
944	0.34035
951	0.38759
955	0.41976
959	0.43984
966	0.45057
971	0.45345
975	0.44852
980	0.43851
984	0.42603
991	0.41258
995	0.39527
1000	0.37699
1009	0.33477
1021	0.28948
1030	0.24413
1040	0.20420
1050	0.16983
1059	0.15414
1069	0.14800
1079	0.15478
1089	0.17297
1099	0.19530
1109	0.23093
1119	0.29512
1130	0.43026
1140	0.65599
1151	1.0160
1159	1.1591
1169	1.2040
1180	1.2353
1191	1.2461
1199	1.2566
1211	1.2359
1219	1.2154
1230	1.1851
1239	1.1552
1250	1.1058
1259	1.0770
1271	1.0777
1279	1.1191
1291	1.1885
1300	1.3533
1309	1.5734
1321	1.8188
1330	2.1268
1340	2.6718
1349	3.7699
1361	4.1595
1371	5.3199
1380	7.1045
1390	9.5830
1400	13.733
1409	22.653
1419	28.312
1429	31.113
1439	31.691
1449	31.542
1459	31.041
1469	28.974
1479	25.643
1489	22.441
1500	18.833
1510	16.295
1521	14.384
1531	13.149
1542	11.743
1549	10.936
1560	9.9886
1570	9.1246
1581	8.5127
1589	7.8609
1600	7.3411
1611	6.8674
1622	6.4381
1629	6.2454
1641	6.0519
1648	5.7883
1660	5.6004
1671	5.5680
1679	5.6096
1690	5.6519
1698	5.7303
1710	5.9157
1722	6.1372
1730	6.4648
1742	6.8603
1750	7.1808
1762	7.4956
1770	7.9516
1778	8.6155
1791	9.3318
1799	9.4929
1811	9.5132
1820	9.5283
1828	9.7479
1841	10.594
1849	12.648
1862	21.630
1871	34.986
1879	48.313
1888	61.374
1901	76.747
1910	110.40
1919	119.64
1932	125.01
1941	123.59
1950	119.09
1959	110.14
1968	98.845
1982	88.890
1991	78.895
2000	69.178
2009	61.950
2018	55.347
2028	49.881
2042	45.490
2051	41.308
2061	37.839
2070	34.755
2080	31.984
2089	29.380
2099	27.797
2109	26.235
2118	24.777
2128	23.444
2138	22.488
2148	21.675
2158	20.888
2168	20.322
2178	19.813
2188	19.499
2198	19.318
2208	19.276
2218	19.320
2228	19.504
2239	20.042
2249	20.892
2259	21.684
2270	22.592
2280	23.661
2291	24.716
2301	25.591
2312	26.731
2317	27.736
2328	29.311
2339	32.208
2350	34.036
2360	36.485
2371	39.363
2382	41.788
2388	44.666
2399	47.641
2410	51.642
2421	55.591
2432	59.422
2438	64.430
2449	69.169
2460	75.194
2472	80.319
2477	86.701
2489	91.383
2500	95.504
2512	97.699
2518	99.313
2529	100.22
2541	102.32
2553	105.43
2564	111.21
2570	113.00
2576	114.05
2582	116.17
2588	117.75
2594	119.95
2606	124.17
2612	130.04
2618	142.90
2624	158.13
2630	191.89
2636	207.99
2649	229.03
2655	254.07
2661	296.47
2667	345.14
2673	401.81
2679	492.05
2685	594.39
2698	675.83
2704	762.16
2710	862.95
2716	948.49
2723	1300.0
2729	1749.8
2742	2118.2
2748	2506.0
2754	2958.2
2761	3388.0
2767	3793.1
2780	4197.1
2786	4600.7
2793	5034.6
2799	5432.4
2812	5863.1
2818	6341.2
2825	6854.8
2831	7412.9
2838	7961.4
2851	8550.9
2858	9057.6
2864	9574.0
2871	10023
2884	10423
2891	10836
2897	11196
2904	11454
2917	11696
2924	11857
2931	11996
2938	11993
2951	12026
2958	11967
2965	11803
2979	11638
2985	11455
2999	11401
3048	9886.5
3097	7782.5
3148	5381.0
3199	3630.8
3251	2360.2
3304	1402.7
3350	979.43
3396	721.20
3451	481.02
3499	337.34
3548	240.45
3597	179.92
3648	145.85
3698	122.20
3750	114.00
3802	112.44
3846	115.34
3899	122.47
3954	132.12
3999	144.55
4046	157.37
4102	172.20
4150	188.34
4198	206.04
4246	224.93
4295	247.20
4345	269.17
4395	294.50
4446	322.21
4498	345.87
4550	375.89
4603	401.86
4645	418.79
4699	419.86
4753	410.33
4797	392.68
4853	373.13
4898	351.49
4955	332.74
5000	311.90
5047	293.80
5105	273.48
5152	258.79
5200	244.32
5248	237.15
5297	232.25
5346	232.26
5395	239.91
5445	248.79
5495	264.82
5546	285.04
5598	318.31
5649	369.05
5702	447.60
5754	542.05
5794	714.64
5848	928.94
5902	1324.3
5957	1823.9
5998	2239.7
6053	2595.1
6095	2698.8
6152	2394.0
6194	1782.5
6252	1396.3
6295	1137.7
6353	979.52
6397	881.04
6457	812.72
6501	758.70
6546	716.24
6607	677.67
6653	651.65
6699	632.35
6745	616.67
6808	603.95
6855	594.31
6902	586.26
6950	580.76
6998	574.09
7047	568.85
7096	566.16
7145	563.68
7194	559.84
7244	558.58
7295	554.68
7345	552.10
7396	550.84
7447	548.25
7499	545.79
7551	544.53
7603	541.96
7656	541.98
7691	540.82
7745	539.49
7798	539.53
7852	539.50
7907	539.56
7943	539.48
7998	538.29
8054	538.29
8091	538.31
8147	538.32
8204	538.25
8241	538.28
8299	539.51
8356	538.24
8395	539.48
8453	540.68
8492	540.71
8551	541.98
8590	543.32
8650	544.49
8710	545.79
8750	547.03
8790	549.55
8851	550.87
8892	553.42
8954	554.64
8995	557.14
9057	559.85
9099	562.37
9141	565.01
9204	566.33
9247	570.22
9290	572.72
9354	576.73
9397	579.44
9441	582.06
9506	586.15
9550	588.84
9594	594.26
9661	598.34
9705	603.91
9750	608.08
9795	613.76
9840	619.51
9908	625.15
9954	630.97
10000	638.25
10050	646.95
10090	656.34
10140	666.74
10210	714.47
10260	690.05
10300	713.11
10350	727.88
10400	748.06
10450	768.89
10500	792.16
10540	816.93
10590	841.55
10640	869.13
10690	899.51
10740	931.13
10790	965.94
10840	1002.3
10890	1035.1
10940	1071.5
10990	1106.6
11040	1137.7
11090	1177.3
11140	1221.7
11190	1267.9
11250	1309.1
11300	1354.5
11350	1406.1
11400	1456.2
11460	1502.3
11510	1552.5
11560	1600.1
11590	1648.0
11640	1694.9
11690	1742.5
11750	1794.6
11800	1854.1
11860	1909.3
11910	1967.8
11940	2028.1
11990	2085.7
12050	2143.1
12110	2191.6
12160	2249.8
12190	2307.1
12250	2354.3
12300	2410.1
12360	2460.4
12390	2511.2
12450	2551.6
12500	2606.8
12560	2642.3
12590	2684.9
12650	2721.9
12710	2759.5
12760	2793.9
12790	2832.6
12850	2864.3
12910	2897.8
12940	2925.0
13000	2957.9
13060	2985.7
13090	3013.4
13150	3041.7
13210	3069.8
13240	3091.3
13300	3113.2
13340	3132.2
13400	3153.8
13460	3176.1
13490	3191.4
13550	3214.4
13610	3222.4
13650	3235.0
13710	3250.2
13740	3266.0
13800	3274.5
13840	3287.8
13900	3296.2
13960	3312.6
14000	3317.5
14060	3326.6
14090	3334.7
14160	3334.2
14190	3342.2
14260	3340.7
14290	3349.6
14350	3350.4
14390	3356.9
14450	3358.6
